Date: 02-08 JAN 2004
Cyclone HETA
ADV  LAT    LON      TIME     WIND  PR  STAT
  6  -7.90 -174.10 01/02/06Z   55     - TROPICAL STORM
  7  -7.90 -173.80 01/02/12Z   55     - TROPICAL STORM
  8  -8.30 -173.50 01/02/18Z   55     - TROPICAL STORM
  9  -9.40 -173.90 01/03/00Z   60     - TROPICAL STORM
 10 -10.00 -174.00 01/03/06Z   65     - CYCLONE-1
 11 -10.70 -174.20 01/03/12Z   65     - CYCLONE-1
 12 -10.70 -174.80 01/03/18Z   75     - CYCLONE-1
 13 -11.00 -175.10 01/04/00Z   75     - CYCLONE-1
 14 -11.40 -174.60 01/04/06Z   80     - CYCLONE-1
 15 -12.30 -174.30 01/04/12Z  100     - CYCLONE-3
 16 -13.20 -174.10 01/04/18Z  125     - CYCLONE-4
 17 -13.80 -174.20 01/05/00Z  140     - CYCLONE-5
 18 -14.50 -173.60 01/05/06Z  140     - CYCLONE-5
 19 -15.50 -172.90 01/05/12Z  140     - CYCLONE-5
 20 -16.80 -172.10 01/05/18Z  130     - CYCLONE-4
 21 -18.10 -171.00 01/06/00Z  130     - CYCLONE-4
 22 -19.70 -169.80 01/06/06Z  125     - CYCLONE-4
 23 -22.30 -167.00 01/06/18Z  115     - CYCLONE-4
 24 -26.20 -163.70 01/07/06Z   80     - CYCLONE-1
 25 -28.80 -160.60 01/07/18Z   65     - CYCLONE-1
 26 -31.70 -158.70 01/08/06Z   35     - TROPICAL STORM
