Date: 11-19 DEC 2012
Cyclone-4 EVAN
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -14.30 -175.60 12/11/18Z   35     - TROPICAL STORM
  2 -14.10 -173.90 12/12/06Z   40     - TROPICAL STORM
  3 -13.90 -173.20 12/12/12Z   50     - TROPICAL STORM
  4 -14.10 -172.00 12/12/18Z   65     - CYCLONE-1
  5 -14.10 -171.30 12/13/00Z   80     - CYCLONE-1
  6 -13.90 -171.40 12/13/06Z   80     - CYCLONE-1
  7 -13.70 -171.60 12/13/12Z   90     - CYCLONE-2
  8 -13.40 -171.70 12/13/18Z  100     - CYCLONE-3
  9 -13.00 -172.10 12/14/00Z  100     - CYCLONE-3
 10 -12.90 -172.50 12/14/06Z  100     - CYCLONE-3
 11 -12.60 -173.00 12/14/12Z  100     - CYCLONE-3
 12 -12.30 -174.00 12/14/18Z  100     - CYCLONE-3
 13 -13.00 -175.60 12/15/06Z   90     - CYCLONE-2
 14 -13.40 -177.70 12/15/18Z  100     - CYCLONE-3
 15 -14.90 -179.90 12/16/06Z  105     - CYCLONE-3
 16 -16.40  178.30 12/16/18Z  115     - CYCLONE-4
 17 -17.90  177.30 12/17/06Z  115     - CYCLONE-4
 18 -19.70  177.20 12/17/18Z  105     - CYCLONE-3
 19 -21.00  177.10 12/18/06Z   95     - CYCLONE-2
 20 -22.30  177.40 12/18/18Z   65     - CYCLONE-1
20A -22.30  177.40 12/18/18Z   65     - CYCLONE-1
 21 -23.40  178.20 12/19/06Z   45     - TROPICAL STORM
 22 -24.30  178.50 12/19/18Z   35     - TROPICAL STORM
