Date: 01-12 JAN 2016
Cyclone-4 ULA
ADV  LAT    LON      TIME     WIND  PR  STAT
  5 -17.40 -171.40 01/01/06Z   90     - CYCLONE-2
  6 -18.20 -174.00 01/01/18Z   75     - CYCLONE-1
  7 -18.50 -176.40 01/02/06Z   85     - CYCLONE-2
  8 -19.20 -177.70 01/02/18Z   90     - CYCLONE-2
  9 -20.50 -179.00 01/03/06Z   85     - CYCLONE-2
 10 -21.70  179.90 01/03/18Z   85     - CYCLONE-2
 11 -22.30  179.20 01/04/06Z   70     - CYCLONE-1
 12 -22.00  178.10 01/04/18Z   65     - CYCLONE-1
 13 -21.80  177.60 01/05/06Z   55     - TROPICAL STORM
 14 -21.00  177.10 01/05/18Z   45     - TROPICAL STORM
 15 -20.30  176.30 01/06/06Z   35     - TROPICAL STORM
 16 -19.50  175.60 01/06/18Z   40     - TROPICAL STORM
 17 -19.00  175.00 01/07/06Z   45     - TROPICAL STORM
 18 -18.70  174.50 01/07/18Z   55     - TROPICAL STORM
 19 -18.40  174.20 01/08/06Z   55     - TROPICAL STORM
 20 -18.60  173.70 01/08/18Z   80     - CYCLONE-1
 21 -18.90  172.90 01/09/06Z   90     - CYCLONE-2
 22 -19.40  171.80 01/09/18Z  115     - CYCLONE-4
 23 -20.50  170.60 01/10/06Z  115     - CYCLONE-4
 24 -22.10  170.10 01/10/18Z  105     - CYCLONE-3
 25 -24.00  170.10 01/11/06Z   90     - CYCLONE-2
 26 -26.10  170.90 01/11/18Z   65     - CYCLONE-1
 27 -28.30  172.70 01/12/06Z   50     - TROPICAL STORM
 28 -29.50  175.30 01/12/18Z   35     - TROPICAL STORM
