Date: 10-24 FEB 2016
Cyclone-5 WINSTON
ADV  LAT    LON      TIME     WIND  PR  STAT
  1 -15.30  170.90 02/10/12Z   35     - TROPICAL STORM
  2 -15.70  171.10 02/11/00Z   40     - TROPICAL STORM
  3 -16.70  171.60 02/11/12Z   55     - TROPICAL STORM
  4 -18.00  171.60 02/12/00Z   65     - CYCLONE-1
  5 -19.70  171.50 02/12/12Z  105     - CYCLONE-3
  6 -22.20  171.80 02/13/00Z  105     - CYCLONE-3
  7 -24.20  172.90 02/13/12Z   95     - CYCLONE-2
  8 -25.30  174.90 02/14/00Z   75     - CYCLONE-1
  9 -25.00  177.60 02/14/12Z   65     - CYCLONE-1
 10 -23.00  179.60 02/15/00Z   60     - TROPICAL STORM
 11 -20.60 -178.10 02/15/12Z   50     - TROPICAL STORM
 12 -19.20 -175.50 02/16/00Z   45     - TROPICAL STORM
 13 -18.50 -174.50 02/16/06Z   55     - TROPICAL STORM
 14 -17.90 -173.60 02/16/12Z   65     - CYCLONE-1
 15 -17.50 -172.40 02/16/18Z   75     - CYCLONE-1
 16 -17.50 -171.80 02/17/00Z   90     - CYCLONE-2
 17 -17.50 -171.20 02/17/06Z   90     - CYCLONE-2
 18 -17.50 -171.00 02/17/12Z   90     - CYCLONE-2
 19 -17.20 -170.80 02/17/18Z   95     - CYCLONE-2
 20 -17.10 -171.10 02/18/00Z  105     - CYCLONE-3
 21 -17.10 -171.60 02/18/06Z   95     - CYCLONE-2
 22 -17.10 -172.30 02/18/12Z  100     - CYCLONE-3
 23 -17.40 -173.30 02/18/18Z  105     - CYCLONE-3
 24 -17.50 -174.60 02/19/00Z  110     - CYCLONE-3
 25 -17.50 -175.90 02/19/06Z  125     - CYCLONE-4
 26 -17.30 -177.50 02/19/12Z  125     - CYCLONE-4
 27 -17.20 -178.90 02/19/18Z  145     - CYCLONE-5
 28 -17.20 -179.90 02/20/00Z  160     - CYCLONE-5
 29 -17.40  178.70 02/20/06Z  155     - CYCLONE-5
 30 -17.40  177.00 02/20/12Z  140     - CYCLONE-5
 31 -17.40  175.80 02/20/18Z  130     - CYCLONE-4
 32 -17.50  174.70 02/21/00Z  115     - CYCLONE-4
 33 -17.60  174.00 02/21/06Z  125     - CYCLONE-4
 34 -17.60  173.20 02/21/12Z  115     - CYCLONE-4
 35 -17.70  172.70 02/21/18Z   95     - CYCLONE-2
 36 -17.80  172.50 02/22/00Z   95     - CYCLONE-2
 37 -17.90  172.30 02/22/06Z   90     - CYCLONE-2
 38 -18.20  172.30 02/22/12Z   90     - CYCLONE-2
 39 -18.70  172.60 02/22/18Z   85     - CYCLONE-2
 40 -19.20  173.00 02/23/00Z   85     - CYCLONE-2
 41 -19.80  173.20 02/23/06Z   75     - CYCLONE-1
 42 -20.70  173.80 02/23/12Z   70     - CYCLONE-1
 43 -21.60  174.30 02/23/18Z   55     - TROPICAL STORM
 44 -22.70  174.30 02/24/00Z   50     - TROPICAL STORM
 45 -23.50  174.10 02/24/06Z   50     - TROPICAL STORM
 46 -24.50  173.90 02/24/12Z   45     - TROPICAL STORM
 47 -25.20  172.80 02/24/18Z   40     - TROPICAL STORM
